id,week,weight,regime,gender,dosage
B38658,1,245.5,GMO,Male,11%
B38658,2,287.5,GMO,Male,11%
B38658,3,321.3,GMO,Male,11%
B38658,4,345.7,GMO,Male,11%
B38658,5,363.6,GMO,Male,11%
B38658,6,381.2,GMO,Male,11%
B38658,7,404,GMO,Male,11%
B38658,8,413.3,GMO,Male,11%
B38658,9,419.1,GMO,Male,11%
B38658,10,424,GMO,Male,11%
B38658,11,439,GMO,Male,11%
B38658,12,436.3,GMO,Male,11%
B38658,13,447.2,GMO,Male,11%
B38658,14,452.3,GMO,Male,11%
B38659,1,217.7,GMO,Male,11%
B38659,2,258.7,GMO,Male,11%
B38659,3,292.8,GMO,Male,11%
B38659,4,311,GMO,Male,11%
B38659,5,323.3,GMO,Male,11%
B38659,6,344.4,GMO,Male,11%
B38659,7,371.5,GMO,Male,11%
B38659,8,384.2,GMO,Male,11%
B38659,9,395.7,GMO,Male,11%
B38659,10,405.7,GMO,Male,11%
B38659,11,401.6,GMO,Male,11%
B38659,12,398.1,GMO,Male,11%
B38659,13,407.8,GMO,Male,11%
B38659,14,407.2,GMO,Male,11%
B38660,1,223,GMO,Male,11%
B38660,2,262.9,GMO,Male,11%
B38660,3,300.2,GMO,Male,11%
B38660,4,329.7,GMO,Male,11%
B38660,5,343.8,GMO,Male,11%
B38660,6,370.3,GMO,Male,11%
B38660,7,388.1,GMO,Male,11%
B38660,8,400.8,GMO,Male,11%
B38660,9,415.1,GMO,Male,11%
B38660,10,425.8,GMO,Male,11%
B38660,11,432.9,GMO,Male,11%
B38660,12,431.9,GMO,Male,11%
B38660,13,442.8,GMO,Male,11%
B38660,14,452,GMO,Male,11%
B38661,1,217.1,GMO,Male,11%
B38661,2,260.7,GMO,Male,11%
B38661,3,303.9,GMO,Male,11%
B38661,4,330.7,GMO,Male,11%
B38661,5,349,GMO,Male,11%
B38661,6,371.5,GMO,Male,11%
B38661,7,389.3,GMO,Male,11%
B38661,8,409.7,GMO,Male,11%
B38661,9,417.1,GMO,Male,11%
B38661,10,432.9,GMO,Male,11%
B38661,11,445.4,GMO,Male,11%
B38661,12,459.1,GMO,Male,11%
B38661,13,469.8,GMO,Male,11%
B38661,14,474.7,GMO,Male,11%
B38622,1,231.1,Control,Male,33%
B38622,2,272.1,Control,Male,33%
B38622,3,311.5,Control,Male,33%
B38622,4,342,Control,Male,33%
B38622,5,368,Control,Male,33%
B38622,6,383,Control,Male,33%
B38622,7,404.6,Control,Male,33%
B38622,8,417.4,Control,Male,33%
B38622,9,424.7,Control,Male,33%
B38622,10,435,Control,Male,33%
B38622,11,437.5,Control,Male,33%
B38622,12,452.8,Control,Male,33%
B38622,13,468,Control,Male,33%
B38622,14,467.4,Control,Male,33%
B38623,1,222,Control,Male,33%
B38623,2,267.5,Control,Male,33%
B38623,3,317.3,Control,Male,33%
B38623,4,345.6,Control,Male,33%
B38623,5,378.8,Control,Male,33%
B38623,6,401.7,Control,Male,33%
B38623,7,434.2,Control,Male,33%
B38623,8,457.2,Control,Male,33%
B38623,9,470.6,Control,Male,33%
B38623,10,495.3,Control,Male,33%
B38623,11,501.7,Control,Male,33%
B38623,12,501.1,Control,Male,33%
B38623,13,514.1,Control,Male,33%
B38623,14,519.4,Control,Male,33%
B38624,1,233.2,Control,Male,33%
B38624,2,286.1,Control,Male,33%
B38624,3,325,Control,Male,33%
B38624,4,345.8,Control,Male,33%
B38624,5,368.2,Control,Male,33%
B38624,6,378.9,Control,Male,33%
B38624,7,403.3,Control,Male,33%
B38624,8,416.1,Control,Male,33%
B38624,9,417.3,Control,Male,33%
B38624,10,437.4,Control,Male,33%
B38624,11,444,Control,Male,33%
B38624,12,449.4,Control,Male,33%
B38624,13,458.1,Control,Male,33%
B38624,14,463.6,Control,Male,33%
B38625,1,219.8,Control,Male,33%
B38625,2,268,Control,Male,33%
B38625,3,320.9,Control,Male,33%
B38625,4,358.6,Control,Male,33%
B38625,5,386.4,Control,Male,33%
B38625,6,418.8,Control,Male,33%
B38625,7,442.5,Control,Male,33%
B38625,8,472.5,Control,Male,33%
B38625,9,484,Control,Male,33%
B38625,10,508.4,Control,Male,33%
B38625,11,521.7,Control,Male,33%
B38625,12,520.5,Control,Male,33%
B38625,13,530.5,Control,Male,33%
B38625,14,530.8,Control,Male,33%
B38626,1,204.8,Control,Male,33%
B38626,2,245.4,Control,Male,33%
B38626,3,288.1,Control,Male,33%
B38626,4,317.9,Control,Male,33%
B38626,5,345.4,Control,Male,33%
B38626,6,353.3,Control,Male,33%
B38626,7,370.6,Control,Male,33%
B38626,8,395.3,Control,Male,33%
B38626,9,404,Control,Male,33%
B38626,10,419.8,Control,Male,33%
B38626,11,428.7,Control,Male,33%
B38626,12,433.4,Control,Male,33%
B38626,13,454.3,Control,Male,33%
